WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan\Ti6242\Ti6242-2-Old-FS\Day 5 - 7 [Fractured].W02 - 3]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 88113
Total number of data points: 7311
Test date: 27/11/2017
Test time: 11:25:22
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0	 Actuator: 1  Channel:1	 Actuator: 1  Channel:2	 
Load Current (kN)	 Stroke Current (mm)	 TIME (S)	 
17.73	 0.47	 72.6090	 
17.73	 0.47	 72.7650	 
17.73	 0.47	 72.9059	 
17.73	 0.47	 73.0780	 
17.73	 0.48	 73.2179	 
17.73	 0.47	 73.3900	 
17.73	 0.47	 73.5309	 
17.73	 0.47	 73.7030	 
17.73	 0.47	 73.8429	 
17.73	 0.48	 74.0150	 
17.73	 0.47	 74.1559	 
17.73	 0.47	 74.3280	 
17.73	 0.47	 74.4999	 
17.73	 0.47	 74.6400	 
17.73	 0.48	 74.7809	 
17.73	 0.47	 74.9369	 
17.73	 0.48	 75.0780	 
17.73	 0.47	 75.2340	 
17.73	 0.47	 75.3749	 
17.73	 0.47	 75.5470	 
17.73	 0.47	 75.6869	 
17.73	 0.48	 75.8280	 
17.74	 0.47	 75.9679	 
17.74	 0.47	 76.1249	 
17.74	 0.47	 76.2650	 
17.74	 0.47	 76.4220	 
17.73	 0.48	 76.5780	 
17.73	 0.47	 76.7340	 
17.73	 0.47	 76.8749	 
17.73	 0.47	 77.0150	 
17.73	 0.47	 77.1559	 
17.73	 0.47	 77.3280	 
17.73	 0.48	 77.4679	 
17.73	 0.47	 77.6400	 
17.73	 0.47	 77.7809	 
17.73	 0.47	 77.9530	 
17.73	 0.47	 78.0929	 
17.73	 0.48	 78.2650	 
17.73	 0.48	 78.4059	 
17.73	 0.47	 78.5619	 
17.73	 0.48	 78.7030	 
17.73	 0.47	 78.8590	 
17.73	 0.47	 78.9999	 
17.73	 0.47	 79.1720	 
17.73	 0.47	 79.3119	 
17.73	 0.47	 79.4679	 
17.73	 0.47	 79.6090	 
17.73	 0.47	 79.7650	 
17.73	 0.47	 79.9059	 
17.73	 0.47	 80.0780	 
17.73	 0.47	 80.2179	 
17.73	 0.47	 80.3900	 
17.73	 0.47	 80.5309	 
17.73	 0.48	 80.6869	 
17.73	 0.47	 80.8280	 
17.73	 0.48	 80.9999	 
17.73	 0.47	 81.1400	 
17.73	 0.47	 81.2970	 
17.73	 0.47	 81.4369	 
17.73	 0.48	 81.5929	 
17.73	 0.47	 81.7340	 
17.73	 0.47	 81.9059	 
17.73	 0.48	 82.0470	 
17.73	 0.47	 82.2179	 
17.74	 0.47	 82.3590	 
17.74	 0.47	 82.5150	 
17.74	 0.47	 82.6559	 
17.74	 0.47	 82.8119	 
17.74	 0.47	 82.9530	 
17.74	 0.47	 83.1090	 
17.74	 0.48	 83.2499	 
17.74	 0.48	 83.4220	 
17.74	 0.47	 83.5619	 
17.74	 0.47	 83.7179	 
17.74	 0.47	 83.8590	 
17.74	 0.47	 84.0150	 
17.74	 0.47	 84.1559	 
17.73	 0.47	 84.3280	 
17.74	 0.47	 84.4679	 
17.73	 0.47	 84.6400	 
17.73	 0.47	 84.7809	 
17.73	 0.47	 84.9530	 
17.73	 0.47	 85.1090	 
17.73	 0.47	 85.2650	 
17.73	 0.47	 85.4059	 
17.74	 0.47	 85.5619	 
17.74	 0.47	 85.7030	 
17.74	 0.47	 85.8749	 
17.74	 0.47	 86.0150	 
17.74	 0.47	 86.1720	 
17.73	 0.48	 86.3119	 
17.73	 0.47	 86.4679	 
17.73	 0.48	 86.6090	 
17.73	 0.47	 86.7650	 
17.74	 0.47	 86.9059	 
17.73	 0.47	 87.0619	 
17.73	 0.47	 87.2030	 
17.73	 0.48	 87.3590	 
17.73	 0.48	 87.4999	 
17.73	 0.47	 87.6720	 
17.73	 0.47	 87.8119	 
17.73	 0.47	 87.9679	 
17.73	 0.48	 88.1090	 
17.73	 0.48	 88.2650	 
17.73	 0.47	 88.4059	 
17.73	 0.47	 88.5780	 
17.73	 0.47	 88.7179	 
17.73	 0.47	 88.8900	 
17.73	 0.47	 89.0309	 
17.73	 0.47	 89.2030	 
17.73	 0.47	 89.3749	 
17.73	 0.47	 89.5150	 
17.73	 0.48	 89.6559	 
17.73	 0.47	 89.7970	 
17.73	 0.47	 89.9369	 
17.73	 0.47	 90.1090	 
17.73	 0.47	 90.2499	 
17.73	 0.47	 90.4059	 
17.73	 0.47	 90.5470	 
17.73	 0.48	 90.7030	 
17.73	 0.47	 90.8429	 
17.73	 0.47	 91.0150	 
17.73	 0.47	 91.1559	 
17.73	 0.47	 91.3280	 
17.73	 0.47	 91.4679	 
17.73	 0.47	 91.6249	 
17.73	 0.47	 91.7650	 
17.73	 0.47	 91.9220	 
17.73	 0.47	 92.0619	 
17.73	 0.47	 92.2179	 
17.73	 0.47	 92.3590	 
17.73	 0.47	 92.5150	 
17.73	 0.47	 92.6559	 
17.73	 0.47	 92.8119	 
17.73	 0.47	 92.9530	 
17.73	 0.48	 93.1090	 
17.73	 0.47	 93.2499	 
17.73	 0.47	 93.4220	 
17.73	 0.47	 93.5619	 
17.73	 0.48	 93.7179	 
17.73	 0.47	 93.8590	 
17.73	 0.47	 94.0150	 
17.73	 0.48	 94.1559	 
17.73	 0.47	 94.3119	 
17.73	 0.47	 94.4530	 
17.73	 0.47	 94.6090	 
17.73	 0.47	 94.7499	 
17.73	 0.47	 94.9220	 
17.73	 0.47	 95.0619	 
17.73	 0.47	 95.2179	 
17.73	 0.47	 95.3590	 
17.73	 0.47	 95.5150	 
17.73	 0.48	 95.6559	 
17.73	 0.47	 95.8119	 
17.73	 0.47	 95.9530	 
17.73	 0.47	 96.1249	 
