WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan Chandran\Ti6242\Ti6242-3-Old-FS\Day 2 - 11351.W02 - 2]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 1781181
Total number of data points: 148400
Test date: 08/12/2017
Test time: 17:04:18
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0,  Actuator: 1  Channel:1,  Actuator: 1  Channel:2,  
Load Current (kN),  Stroke Current (mm),  TIME (S),  
8.07,  0.26,  64.2350,  
5.78,  0.21,  64.3750,  
2.69,  0.15,  64.5470,  
0.30,  0.10,  64.6880,  
3.37,  0.16,  64.8600,  
6.43,  0.22,  65.0000,  
9.48,  0.28,  65.1570,  
11.89,  0.34,  65.2970,  
14.88,  0.40,  65.4540,  
18.00,  0.47,  65.5940,  
17.29,  0.46,  65.7500,  
15.02,  0.41,  65.8910,  
11.96,  0.34,  66.0470,  
8.86,  0.27,  66.1880,  
5.76,  0.21,  66.3600,  
2.66,  0.15,  66.5000,  
0.31,  0.10,  66.6720,  
2.60,  0.14,  66.8130,  
6.39,  0.22,  66.9850,  
9.53,  0.28,  67.1570,  
12.61,  0.35,  67.2970,  
14.90,  0.40,  67.4380,  
17.99,  0.47,  67.6100,  
17.25,  0.45,  67.7500,  
14.23,  0.39,  67.9220,  
11.18,  0.32,  68.0630,  
8.09,  0.26,  68.2500,  
4.97,  0.19,  68.3910,  
1.93,  0.13,  68.5470,  
0.28,  0.10,  68.6880,  
4.11,  0.17,  68.8600,  
6.43,  0.22,  69.0000,  
9.52,  0.29,  69.1720,  
12.55,  0.35,  69.3130,  
15.67,  0.42,  69.4850,  
18.70,  0.49,  69.6250,  
16.56,  0.44,  69.7970,  
13.52,  0.37,  69.9380,  
10.42,  0.31,  70.1100,  
7.30,  0.24,  70.2820,  
4.19,  0.18,  70.4220,  
1.17,  0.12,  70.5630,  
1.14,  0.12,  70.7190,  
4.15,  0.18,  70.8600,  
7.18,  0.24,  71.0000,  
9.52,  0.29,  71.1410,  
12.59,  0.35,  71.2970,  
14.91,  0.40,  71.4380,  
18.00,  0.47,  71.5940,  
17.29,  0.46,  71.7350,  
14.29,  0.39,  71.8910,  
11.95,  0.34,  72.0320,  
8.83,  0.27,  72.1880,  
5.74,  0.21,  72.3290,  
2.68,  0.15,  72.4850,  
0.39,  0.10,  72.6250,  
2.63,  0.15,  72.7820,  
5.66,  0.20,  72.9220,  
8.00,  0.27,  73.0790,  
11.04,  0.32,  73.2190,  
14.17,  0.39,  73.3750,  
17.23,  0.45,  73.5160,  
18.88,  0.49,  73.6720,  
15.78,  0.42,  73.8130,  
12.73,  0.36,  73.9850,  
9.62,  0.29,  74.1250,  
6.50,  0.22,  74.2970,  
3.45,  0.16,  74.4380,  
0.38,  0.10,  74.6100,  
2.60,  0.14,  74.7500,  
5.69,  0.21,  74.9220,  
8.00,  0.25,  75.0630,  
11.08,  0.32,  75.2190,  
14.13,  0.39,  75.3600,  
17.26,  0.45,  75.5160,  
18.88,  0.49,  75.6570,  
15.02,  0.41,  75.8290,  
12.73,  0.36,  75.9690,  
9.62,  0.29,  76.1250,  
6.54,  0.23,  76.2660,  
4.21,  0.18,  76.4220,  
1.11,  0.12,  76.5630,  
1.88,  0.13,  76.7350,  
4.91,  0.19,  76.8750,  
8.00,  0.25,  77.0470,  
11.07,  0.32,  77.1880,  
14.13,  0.38,  77.3600,  
17.21,  0.45,  77.5000,  
18.03,  0.47,  77.6720,  
15.79,  0.42,  77.8130,  
11.91,  0.34,  77.9850,  
9.64,  0.29,  78.1250,  
6.51,  0.23,  78.2820,  
3.41,  0.16,  78.4220,  
0.34,  0.10,  78.5790,  
1.89,  0.13,  78.7190,  
4.88,  0.19,  78.8750,  
7.98,  0.25,  79.0160,  
10.31,  0.30,  79.1720,  
13.39,  0.37,  79.3130,  
16.43,  0.43,  79.4850,  
18.87,  0.49,  79.6250,  
15.78,  0.42,  79.7970,  
12.70,  0.36,  79.9380,  
9.63,  0.29,  80.1100,  
6.52,  0.23,  80.2500,  
3.43,  0.16,  80.4220,  
1.12,  0.12,  80.5630,  
2.59,  0.14,  80.7350,  
5.67,  0.21,  80.9070,  
8.78,  0.27,  81.0470,  
11.05,  0.32,  81.1880,  
14.17,  0.38,  81.3440,  
17.25,  0.45,  81.4850,  
18.88,  0.49,  81.6410,  
15.80,  0.42,  81.7820,  
12.71,  0.36,  81.9540,  
9.64,  0.29,  82.0940,  
6.48,  0.23,  82.2500,  
4.22,  0.18,  82.3910,  
1.13,  0.12,  82.5470,  
1.90,  0.13,  82.6880,  
4.94,  0.19,  82.8440,  
7.19,  0.24,  82.9850,  
10.29,  0.30,  83.1570,  
13.37,  0.37,  83.2970,  
16.45,  0.44,  83.4540,  
18.86,  0.49,  83.5940,  
16.55,  0.44,  83.7500,  
13.50,  0.37,  83.8910,  
10.39,  0.31,  84.0470,  
8.08,  0.26,  84.1880,  
4.96,  0.19,  84.3440,  
1.91,  0.13,  84.4850,  
1.11,  0.12,  84.6410,  
3.35,  0.16,  84.7820,  
6.42,  0.24,  84.9540,  
9.51,  0.28,  85.0940,  
12.64,  0.35,  85.2500,  
15.72,  0.42,  85.3910,  
18.01,  0.47,  85.5470,  
17.25,  0.45,  85.6880,  
14.24,  0.39,  85.8600,  
11.16,  0.32,  86.0000,  
8.09,  0.26,  86.1570,  
5.70,  0.21,  86.2970,  
2.67,  0.15,  86.4540,  
0.28,  0.10,  86.5940,  
3.37,  0.16,  86.7660,  
6.45,  0.22,  86.9070,  
8.73,  0.27,  87.0630,  
11.82,  0.33,  87.2040,  
14.95,  0.40,  87.3600,  
17.99,  0.47,  87.5000,  
17.26,  0.45,  87.6720,  
15.03,  0.41,  87.8130,  
11.95,  0.34,  87.9690,  
8.83,  0.27,  88.1100,  
5.75,  0.21,  88.2820,  
2.65,  0.15,  88.4220,  
0.38,  0.10,  88.5790,  
2.60,  0.14,  88.7190,  
5.69,  0.20,  88.8750,  
8.76,  0.27,  89.0160,  
11.08,  0.32,  89.1720,  
14.18,  0.39,  89.3130,  
17.21,  0.45,  89.4850,  
18.02,  0.47,  89.6250,  
15.03,  0.41,  89.7970,  
11.93,  0.34,  89.9380,  
9.61,  0.27,  90.0940,  
6.51,  0.22,  90.2350,  
3.41,  0.16,  90.3910,  
0.34,  0.10,  90.5320,  
2.62,  0.15,  90.7040,  
4.93,  0.19,  90.8440,  
8.03,  0.25,  91.0000,  
11.05,  0.32,  91.1410,  
14.14,  0.38,  91.2970,  
16.42,  0.44,  91.4380,  
