No.	Pos. [°2Th.]	Iobs [cts]	Icalc [cts]	Iback [cts]	CT [s]	ESD	D spacings
317	40.4377	6259.3360	 	 	224.7900	 	2.22883
318	40.4707	5408.2340	 	 	224.7900	 	2.22709
319	40.5037	4217.7590	 	 	224.7900	 	2.22535
320	40.5367	3186.9980	 	 	224.7900	 	2.22361
321	40.5697	2094.6410	 	 	224.7900	 	2.22188
322	40.6027	1267.8380	 	 	224.7900	 	2.22015
323	40.6357	741.5217	 	 	224.7900	 	2.21842
324	40.6687	442.8345	 	 	224.7900	 	2.21670
325	40.7017	281.6253	 	 	224.7900	 	2.21498
326	40.7347	232.2267	 	 	224.7900	 	2.21326
327	40.7677	206.0469	 	 	224.7900	 	2.21155
328	40.8007	170.0821	 	 	224.7900	 	2.20983
329	40.8337	155.6225	 	 	224.7900	 	2.20812
330	40.8667	160.7170	 	 	224.7900	 	2.20642
331	40.8997	164.4939	 	 	224.7900	 	2.20471
332	40.9327	145.4212	 	 	224.7900	 	2.20301
333	40.9657	127.3462	 	 	224.7900	 	2.20131
334	40.9987	147.7110	 	 	224.7900	 	2.19962
335	41.0317	159.4335	 	 	224.7900	 	2.19792
336	41.0647	141.1236	 	 	224.7900	 	2.19623
337	41.0977	137.2490	 	 	224.7900	 	2.19455
338	41.1307	120.2586	 	 	224.7900	 	2.19286
339	41.1637	113.2669	 	 	224.7900	 	2.19118
340	41.1967	128.0066	 	 	224.7900	 	2.18950
341	41.2297	113.6467	 	 	224.7900	 	2.18783
342	41.2627	109.8292	 	 	224.7900	 	2.18615
343	41.2957	95.7625	 	 	224.7900	 	2.18448
344	41.3287	115.8815	 	 	224.7900	 	2.18281
345	41.3617	126.0867	 	 	224.7900	 	2.18115
346	41.3947	119.5382	 	 	224.7900	 	2.17948
347	41.4277	120.1223	 	 	224.7900	 	2.17783
348	41.4607	123.2335	 	 	224.7900	 	2.17617
349	41.4937	110.7830	 	 	224.7900	 	2.17451
350	41.5267	110.2363	 	 	224.7900	 	2.17286
351	41.5597	119.4447	 	 	224.7900	 	2.17121
352	41.5927	111.8804	 	 	224.7900	 	2.16957
353	41.6257	106.7438	 	 	224.7900	 	2.16792
354	41.6587	103.0959	 	 	224.7900	 	2.16628
355	41.6917	105.8639	 	 	224.7900	 	2.16464
356	41.7247	112.4946	 	 	224.7900	 	2.16301
357	41.7577	119.9833	 	 	224.7900	 	2.16137
358	41.7907	118.7592	 	 	224.7900	 	2.15974
359	41.8237	106.1496	 	 	224.7900	 	2.15812
360	41.8567	109.4534	 	 	224.7900	 	2.15649
361	41.8897	106.2362	 	 	224.7900	 	2.15487
362	41.9227	94.7392	 	 	224.7900	 	2.15325
363	41.9557	90.2297	 	 	224.7900	 	2.15163
364	41.9887	85.1036	 	 	224.7900	 	2.15002
365	42.0217	91.8018	 	 	224.7900	 	2.14840
366	42.0547	92.9949	 	 	224.7900	 	2.14679
367	42.0877	96.3619	 	 	224.7900	 	2.14519
368	42.1207	97.3113	 	 	224.7900	 	2.14358
369	42.1537	88.3099	 	 	224.7900	 	2.14198
370	42.1867	85.3204	 	 	224.7900	 	2.14038
371	42.2197	82.6496	 	 	224.7900	 	2.13879
372	42.2527	81.5179	 	 	224.7900	 	2.13719
373	42.2857	81.0551	 	 	224.7900	 	2.13560
374	42.3187	97.5453	 	 	224.7900	 	2.13401
375	42.3517	104.6574	 	 	224.7900	 	2.13242
376	42.3847	92.4766	 	 	224.7900	 	2.13084
377	42.4177	92.7311	 	 	224.7900	 	2.12926
378	42.4507	93.7855	 	 	224.7900	 	2.12768
379	42.4837	82.6598	 	 	224.7900	 	2.12610
380	42.5167	91.3693	 	 	224.7900	 	2.12453
381	42.5497	86.4576	 	 	224.7900	 	2.12296
382	42.5827	79.4781	 	 	224.7900	 	2.12139
383	42.6157	94.1521	 	 	224.7900	 	2.11982
384	42.6487	89.9950	 	 	224.7900	 	2.11826
385	42.6817	88.6966	 	 	224.7900	 	2.11670
386	42.7147	79.8011	 	 	224.7900	 	2.11514
387	42.7477	73.5660	 	 	224.7900	 	2.11358
388	42.7807	83.3838	 	 	224.7900	 	2.11203
389	42.8137	72.3646	 	 	224.7900	 	2.11048
390	42.8467	91.8837	 	 	224.7900	 	2.10893
391	42.8797	60.8170	 	 	224.7900	 	2.10738
392	42.9127	109.5610	 	 	224.7900	 	2.10584
393	42.9457	69.5705	 	 	224.7900	 	2.10429
394	42.9787	82.0680	 	 	224.7900	 	2.10276
395	43.0117	84.2599	 	 	224.7900	 	2.10122
396	43.0447	97.8353	 	 	224.7900	 	2.09968
397	43.0777	71.1767	 	 	224.7900	 	2.09815
398	43.1107	81.7868	 	 	224.7900	 	2.09662
399	43.1437	78.1313	 	 	224.7900	 	2.09510
400	43.1767	84.6856	 	 	224.7900	 	2.09357
401	43.2097	81.2326	 	 	224.7900	 	2.09205
402	43.2427	87.5084	 	 	224.7900	 	2.09053
403	43.2757	75.1556	 	 	224.7900	 	2.08901
